Instance,Income
111994,27800
111995,15998
111996,30609
111997,132443
111998,8456
111999,97346
112000,135274
112001,51392
112002,48135
112003,115933
112004,12205
112005,199679
112006,41474
112007,110735
112008,287134
112009,89560
112010,50688
112011,35899
112012,25316
112013,16184
112014,110021
112015,56666
112016,50279
112017,29609
112018,157379
112019,56506
112020,34458
112021,42862
112022,98874
112023,62000
112024,24507
112025,84238
112026,41249
112027,56221
112028,37065
112029,51342
112030,193338
112031,269368
112032,277231
112033,90802
112034,85591
112035,95774
112036,211810
112037,103151
112038,192033
112039,49071
112040,67542
112041,57548
112042,46859
112043,61766
112044,51672
112045,24589
112046,291233
112047,31649
112048,32515
112049,105267
112050,40359
112051,72253
112052,134804
112053,202289
112054,91234
112055,28478
112056,129333
112057,38812
112058,26102
112059,35842
112060,302012
112061,185541
112062,188606
112063,63303
112064,23639
112065,37532
112066,15580
112067,105655
112068,50247
112069,239673
112070,319627
112071,56555
112072,86763
112073,38084
112074,34542
112075,12902
112076,124636
112077,554588
112078,9780
112079,184013
112080,100487
112081,598626
112082,38549
112083,21785
112084,20780
112085,55654
112086,34295
112087,137177
112088,113518
112089,62928
112090,235164
112091,42233
112092,39204
112093,81586
112094,44070
112095,47503
112096,115060
112097,25584
112098,31512
112099,20357
112100,38067
112101,183443
112102,37749
112103,122830
112104,71372
112105,47335
112106,107953
112107,159097
112108,64922
112109,26224
112110,42638
112111,26954
112112,72193
112113,76738
112114,62688
112115,17206
112116,40432
112117,91734
112118,24925
112119,26559
112120,462624
112121,132021
112122,419561
112123,220288
112124,37704
112125,173688
112126,184548
112127,18279
112128,44633
112129,102441
112130,82090
112131,25741
112132,74787
112133,257651
112134,35862
112135,25173
112136,107674
112137,12545
112138,39137
112139,64385
112140,46088
112141,43968
112142,60710
112143,211552
112144,27261
112145,29974
112146,47513
112147,255915
112148,56644
112149,77209
112150,15393
112151,369826
112152,92630
112153,54295
112154,23661
112155,101147
112156,81498
112157,80881
112158,37470
112159,251382
112160,58033
112161,283762
112162,92302
112163,17285
112164,25199
112165,220022
112166,50122
112167,27141
112168,50160
112169,331959
112170,259503
112171,48955
112172,8692
112173,93397
112174,36820
112175,43139
112176,28438
112177,88670
112178,15330
112179,20184
112180,39513
112181,7305
112182,273939
112183,92225
112184,25158
112185,362330
112186,7758
112187,103485
112188,146384
112189,51302
112190,47324
112191,114726
112192,283499
112193,36261
112194,190492
112195,29569
112196,26085
112197,234433
112198,34151
112199,49419
112200,59340
112201,426121
112202,269391
112203,41415
112204,41547
112205,7839
112206,190796
112207,327920
112208,74893
112209,332140
112210,35198
112211,249572
112212,52331
112213,29949
112214,184004
112215,35722
112216,102618
112217,36270
112218,49374
112219,398993
112220,22450
112221,9932
112222,31786
112223,34567
112224,119087
112225,16505
112226,56806
112227,68146
112228,110059
112229,68650
112230,196965
112231,16267
112232,144065
112233,23580
112234,35964
112235,14034
112236,108221
112237,398255
112238,44780
112239,12348
112240,16241
112241,42597
112242,53482
112243,70082
112244,149251
112245,92428
112246,56585
112247,488655
112248,93385
112249,15291
112250,49278
112251,50579
112252,47395
112253,29654
112254,261155
112255,45358
112256,25069
112257,41324
112258,530432
112259,163293
112260,143212
112261,590850
112262,77901
112263,28543
112264,82744
112265,20625
112266,40314
112267,61290
112268,62216
112269,399488
112270,28470
112271,79264
112272,100174
112273,155154
112274,2876
112275,149159
112276,214466
112277,82510
112278,33764
112279,20000
112280,163505
112281,80946
112282,171294
112283,143545
112284,61357
112285,75503
112286,38105
112287,40332
112288,87692
112289,252461
112290,189753
112291,34734
112292,503384
112293,15693
112294,375620
112295,39891
112296,244715
112297,85318
112298,52036
112299,40043
112300,19506
112301,32199
112302,44115
112303,37097
112304,173907
112305,24656
112306,53405
112307,39186
112308,141877
112309,52248
112310,38007
112311,112649
112312,37543
112313,87703
112314,32134
112315,160721
112316,47675
112317,24418
112318,32294
112319,23797
112320,692822
112321,55566
112322,18381
112323,148608
112324,333743
112325,230498
112326,85324
112327,280546
112328,96764
112329,150435
112330,409927
112331,358162
112332,270705
112333,297411
112334,253505
112335,60599
112336,31990
112337,232673
112338,303463
112339,258929
